iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
725	262	296	262	340	262	340	296
726	262	296	262	340	262	340	296
727	260	293	260	340	260	340	293
728	260	293	260	340	260	340	293
729	260	293	260	340	260	340	293
730	260	293	260	340	260	340	293
731	260	293	260	340	260	340	293
732	260	293	260	340	260	340	293
733	260	293	260	340	260	340	293
734	260	293	260	340	260	340	293
735	259	292	259	340	259	340	292
736	260	293	260	340	260	340	293
737	260	293	260	340	260	340	293
738	260	293	260	340	260	340	293
739	260	293	260	340	260	340	293
740	260	293	260	340	260	340	293
741	260	293	260	340	260	340	293
742	260	293	260	340	260	340	293
743	260	293	260	340	260	340	293
744	260	293	260	340	260	340	293
745	260	293	260	340	260	340	293
746	260	293	260	340	260	340	293
747	260	293	260	340	260	340	293
748	260	293	260	340	260	340	293
749	260	293	260	340	260	340	293
750	260	293	260	340	260	340	293
751	260	293	260	340	260	340	293
752	260	293	260	340	260	340	293
753	260	293	260	340	260	340	293
754	260	293	260	340	260	340	293
755	260	293	260	340	260	340	293
756	262	296	262	340	262	340	296
757	262	296	262	340	262	340	296
758	262	296	262	340	262	340	296
759	260	293	260	340	260	340	293
760	260	293	260	340	260	340	293
761	260	293	260	340	260	340	293
762	260	293	260	340	260	340	293
763	260	293	260	340	260	340	293
764	260	293	260	340	260	340	293
765	260	293	260	340	260	340	293
766	260	293	260	340	260	340	293
767	259	292	259	340	259	340	292
768	259	292	259	340	259	340	292
769	259	292	259	340	259	340	292
770	259	292	259	340	259	340	292
771	260	293	260	340	260	340	293
772	260	293	260	340	260	340	293
773	260	293	260	340	260	340	293
774	260	293	260	340	260	340	293
775	260	293	260	340	260	340	293
776	259	292	259	340	259	340	292
777	260	293	260	340	260	340	293
778	260	293	260	340	260	340	293
779	260	293	260	340	260	340	293
780	260	293	260	340	260	340	293
781	259	292	259	340	259	340	292
782	260	293	260	340	260	340	293
783	260	293	260	340	260	340	293
784	260	293	260	340	260	340	293
785	259	292	259	340	259	340	292
786	259	292	259	340	259	340	292
787	259	292	259	340	259	340	292
788	260	293	260	340	260	340	293
789	260	293	260	340	260	340	293
